Algorithm,Run,C
Perceptron,1,
Perceptron,2,
Perceptron,3,
Perceptron,4,
Perceptron,5,
Perceptron,6,
Perceptron,7,
Perceptron,8,
Perceptron,9,
Perceptron,10,
Perceptron,11,
Perceptron,12,
Perceptron,13,
Perceptron,14,
Perceptron,15,
Perceptron,1,
Perceptron,2,
Perceptron,3,
Perceptron,4,
Perceptron,5,
Perceptron,6,
Perceptron,7,
Perceptron,8,
Perceptron,9,
Perceptron,10,
Perceptron,11,
Perceptron,12,
Perceptron,13,
Perceptron,14,
Perceptron,15,
Perceptron,16,
Perceptron,17,
Perceptron,18,
Perceptron,19,
Perceptron,20,
Gaussian_Kernel_Perceptron,1,
Gaussian_Kernel_Perceptron,2,
Gaussian_Kernel_Perceptron,3,
Gaussian_Kernel_Perceptron,4,
Gaussian_Kernel_Perceptron,5,
Gaussian_Kernel_Perceptron,6,
Gaussian_Kernel_Perceptron,7,
Gaussian_Kernel_Perceptron,8,
Gaussian_Kernel_Perceptron,9,
Gaussian_Kernel_Perceptron,10,
Gaussian_Kernel_Perceptron,11,
Gaussian_Kernel_Perceptron,12,
Gaussian_Kernel_Perceptron,13,
Gaussian_Kernel_Perceptron,14,
Gaussian_Kernel_Perceptron,15,
Gaussian_Kernel_Perceptron,16,
Gaussian_Kernel_Perceptron,17,
Gaussian_Kernel_Perceptron,18,
Gaussian_Kernel_Perceptron,19,
Gaussian_Kernel_Perceptron,20,
PA_L1,1,
PA_L1,2,
PA_L1,3,
PA_L1,4,
PA_L1,5,
PA_L1,6,
PA_L1,7,
PA_L1,8,
PA_L1,9,
PA_L1,10,
PA_L1,11,
PA_L1,12,
PA_L1,13,
PA_L1,14,
PA_L1,15,
PA_L1,16,
PA_L1,17,
PA_L1,18,
PA_L1,19,
PA_L1,20,
PA_L2,1,
PA_L2,2,
PA_L2,3,
PA_L2,4,
PA_L2,5,
PA_L2,6,
PA_L2,7,
PA_L2,8,
PA_L2,9,
PA_L2,10,
PA_L2,11,
PA_L2,12,
PA_L2,13,
PA_L2,14,
PA_L2,15,
PA_L2,16,
PA_L2,17,
PA_L2,18,
PA_L2,19,
PA_L2,20,
PA1_L1,1,0.1171820494089159
PA1_L1,2,0.1171820494089159
