C,Algorithm
1.0,Gaussian_Kernel_Perceptron
8.937042083459058,PA1_L1
0.7140526563108395,PA1_L2
0.0683992017170381,PA2_L1
4.037236594045408,PA2_L2
0.0641776916787869,OGD_1
0.0760069101370991,OGD_2
1.0,Gaussian_Kernel_OGD
0.074987457585092,OGD
1.0,PA
6.080558753426233,PA1
40.80360339501202,PA2
23.959035163743323,PA1_Csplit
0.0659184640562634,PA2_Csplit
1.0,PA_L1
1.0,PA_L2
0.5047292795573516,PA_I_L1
0.0684934484807272,PA_I_L2
3.8364557880757846,PA_II_L1
0.2640834029142692,PA_II_L2
1.0,Gaussian_Kernel_Perceptron
19.5155706518314,PA1_L1
19.171769152522646,PA1_L2
2.507850149215162,PA2_L1
2.058743036209133,PA2_L2
0.2586774921793336,OGD_1
0.4171195161942723,OGD_2
1.0,Gaussian_Kernel_OGD
0.1452693052776569,OGD
1.0,PA
0.0762405031732658,PA1
0.0768034430978526,PA2
8.79432958963192,PA1_Csplit
32.35855064014301,PA2_Csplit
1.0,PA_L1
1.0,PA_L2
2.1819429384413778,PA_I_L1
0.0822556097641199,PA_I_L2
0.2341453778394974,PA_II_L1
1.505013224673074,PA_II_L2
1.0,CSRDA_1
1.0,CSRDA_2
1.0,CSTG_1
1.0,CSTG_2
