filename,w,t,a,b,abtype
abtype7_w10_t0.005.libsvm,10,0.005,900,100,7
abtype7_w10_t0.025.libsvm,10,0.025,900,100,7
abtype7_w10_t0.046.libsvm,10,0.046,900,100,7
abtype7_w10_t0.066.libsvm,10,0.066,900,100,7
abtype7_w10_t0.087.libsvm,10,0.087,900,100,7
abtype7_w10_t0.107.libsvm,10,0.107,900,100,7
abtype7_w10_t0.127.libsvm,10,0.127,900,100,7
abtype7_w10_t0.148.libsvm,10,0.148,900,100,7
abtype7_w10_t0.168.libsvm,10,0.168,900,100,7
abtype7_w10_t0.188.libsvm,10,0.188,900,100,7
abtype7_w10_t0.209.libsvm,10,0.209,900,100,7
abtype7_w10_t0.229.libsvm,10,0.229,900,100,7
abtype7_w10_t0.25.libsvm,10,0.25,900,100,7
abtype7_w10_t0.27.libsvm,10,0.27,900,100,7
abtype7_w10_t0.29.libsvm,10,0.29,900,100,7
abtype7_w10_t0.311.libsvm,10,0.311,900,100,7
abtype7_w10_t0.331.libsvm,10,0.331,900,100,7
abtype7_w10_t0.352.libsvm,10,0.352,900,100,7
abtype7_w10_t0.372.libsvm,10,0.372,900,100,7
abtype7_w10_t0.392.libsvm,10,0.392,900,100,7
abtype7_w10_t0.413.libsvm,10,0.413,900,100,7
abtype7_w10_t0.433.libsvm,10,0.433,900,100,7
abtype7_w10_t0.453.libsvm,10,0.453,900,100,7
abtype7_w10_t0.474.libsvm,10,0.474,900,100,7
abtype7_w10_t0.494.libsvm,10,0.494,900,100,7
abtype7_w10_t0.515.libsvm,10,0.515,900,100,7
abtype7_w10_t0.535.libsvm,10,0.535,900,100,7
abtype7_w10_t0.555.libsvm,10,0.555,900,100,7
abtype7_w10_t0.576.libsvm,10,0.576,900,100,7
abtype7_w10_t0.596.libsvm,10,0.596,900,100,7
abtype7_w10_t0.617.libsvm,10,0.617,900,100,7
abtype7_w10_t0.637.libsvm,10,0.637,900,100,7
abtype7_w10_t0.657.libsvm,10,0.657,900,100,7
abtype7_w10_t0.678.libsvm,10,0.678,900,100,7
abtype7_w10_t0.698.libsvm,10,0.698,900,100,7
abtype7_w10_t0.718.libsvm,10,0.718,900,100,7
abtype7_w10_t0.739.libsvm,10,0.739,900,100,7
abtype7_w10_t0.759.libsvm,10,0.759,900,100,7
abtype7_w10_t0.78.libsvm,10,0.78,900,100,7
abtype7_w10_t0.8.libsvm,10,0.8,900,100,7
abtype7_w15_t0.005.libsvm,15,0.005,900,100,7
abtype7_w15_t0.025.libsvm,15,0.025,900,100,7
abtype7_w15_t0.046.libsvm,15,0.046,900,100,7
abtype7_w15_t0.066.libsvm,15,0.066,900,100,7
abtype7_w15_t0.087.libsvm,15,0.087,900,100,7
abtype7_w15_t0.107.libsvm,15,0.107,900,100,7
abtype7_w15_t0.127.libsvm,15,0.127,900,100,7
abtype7_w15_t0.148.libsvm,15,0.148,900,100,7
abtype7_w15_t0.168.libsvm,15,0.168,900,100,7
abtype7_w15_t0.188.libsvm,15,0.188,900,100,7
abtype7_w15_t0.209.libsvm,15,0.209,900,100,7
abtype7_w15_t0.229.libsvm,15,0.229,900,100,7
abtype7_w15_t0.25.libsvm,15,0.25,900,100,7
abtype7_w15_t0.27.libsvm,15,0.27,900,100,7
abtype7_w15_t0.29.libsvm,15,0.29,900,100,7
abtype7_w15_t0.311.libsvm,15,0.311,900,100,7
abtype7_w15_t0.331.libsvm,15,0.331,900,100,7
abtype7_w15_t0.352.libsvm,15,0.352,900,100,7
abtype7_w15_t0.372.libsvm,15,0.372,900,100,7
abtype7_w15_t0.392.libsvm,15,0.392,900,100,7
abtype7_w15_t0.413.libsvm,15,0.413,900,100,7
abtype7_w15_t0.433.libsvm,15,0.433,900,100,7
abtype7_w15_t0.453.libsvm,15,0.453,900,100,7
abtype7_w15_t0.474.libsvm,15,0.474,900,100,7
abtype7_w15_t0.494.libsvm,15,0.494,900,100,7
abtype7_w15_t0.515.libsvm,15,0.515,900,100,7
abtype7_w15_t0.535.libsvm,15,0.535,900,100,7
abtype7_w15_t0.555.libsvm,15,0.555,900,100,7
abtype7_w15_t0.576.libsvm,15,0.576,900,100,7
abtype7_w15_t0.596.libsvm,15,0.596,900,100,7
abtype7_w15_t0.617.libsvm,15,0.617,900,100,7
abtype7_w15_t0.637.libsvm,15,0.637,900,100,7
abtype7_w15_t0.657.libsvm,15,0.657,900,100,7
abtype7_w15_t0.678.libsvm,15,0.678,900,100,7
abtype7_w15_t0.698.libsvm,15,0.698,900,100,7
abtype7_w15_t0.718.libsvm,15,0.718,900,100,7
abtype7_w15_t0.739.libsvm,15,0.739,900,100,7
