Algorithm 1,Algorithm 2,Rank 1,Rank 2,Difference,q_stat,p-value,Significant,Better
PA,PA-I,10.333333333333334,9.666666666666666,0.6666666666666679,0.3481553119113963,0.9999997482124329,False,No difference
PA,PA-II,10.333333333333334,9.166666666666666,1.1666666666666679,0.6092717958449431,0.9999467686108982,False,No difference
PA,CSPA_1,10.333333333333334,5.166666666666667,5.166666666666667,2.6982036673133165,0.200432402003895,False,No difference
PA,CSPA_2,10.333333333333334,5.333333333333333,5.000000000000001,2.611164839335468,0.2426760559334863,False,No difference
PA,CSPA-ℓ1,10.333333333333334,6.833333333333333,3.500000000000001,1.8278153875348278,0.7637017001993605,False,No difference
PA,CSPA-ℓ2,10.333333333333334,8.5,1.833333333333334,0.9574271077563384,0.997080176574445,False,No difference
PA,CSPA_1-ℓ^I,10.333333333333334,3.6666666666666665,6.666666666666668,3.4815531191139573,0.021387766270994257,True,CSPA_1-ℓ^I
PA,CSPA_1-ℓ^II,10.333333333333334,2.5,7.833333333333334,4.090824914958899,0.0021267055399020185,True,CSPA_1-ℓ^II
PA,CSPA_2-ℓ^I,10.333333333333334,2.3333333333333335,8.0,4.177863742936748,0.001474861993547849,True,CSPA_2-ℓ^I
PA,CSPA_2-ℓ^II,10.333333333333334,2.5,7.833333333333334,4.090824914958899,0.0021267055399020185,True,CSPA_2-ℓ^II
PA-I,PA-II,9.666666666666666,9.166666666666666,0.5,0.26111648393354675,0.9999999850654815,False,No difference
PA-I,CSPA_1,9.666666666666666,5.166666666666667,4.499999999999999,2.3500483554019205,0.39946429740172285,False,No difference
PA-I,CSPA_2,9.666666666666666,5.333333333333333,4.333333333333333,2.263009527424072,0.45967371191180295,False,No difference
PA-I,CSPA-ℓ1,9.666666666666666,6.833333333333333,2.833333333333333,1.4796600756234315,0.9268005622775463,False,No difference
PA-I,CSPA-ℓ2,9.666666666666666,8.5,1.166666666666666,0.6092717958449422,0.9999467686108982,False,No difference
PA-I,CSPA_1-ℓ^I,9.666666666666666,3.6666666666666665,6.0,3.1333978072025612,0.06451633519188582,False,No difference
PA-I,CSPA_1-ℓ^II,9.666666666666666,2.5,7.166666666666666,3.7426696030475033,0.008410849922981467,True,CSPA_1-ℓ^II
PA-I,CSPA_2-ℓ^I,9.666666666666666,2.3333333333333335,7.333333333333332,3.829708431025352,0.006046259014416133,True,CSPA_2-ℓ^I
PA-I,CSPA_2-ℓ^II,9.666666666666666,2.5,7.166666666666666,3.7426696030475033,0.008410849922981467,True,CSPA_2-ℓ^II
PA-II,CSPA_1,9.166666666666666,5.166666666666667,3.999999999999999,2.0889318714683736,0.5853031164517789,False,No difference
PA-II,CSPA_2,9.166666666666666,5.333333333333333,3.833333333333333,2.001893043490525,0.6477097869134831,False,No difference
PA-II,CSPA-ℓ1,9.166666666666666,6.833333333333333,2.333333333333333,1.2185435916898848,0.980587515128987,False,No difference
PA-II,CSPA-ℓ2,9.166666666666666,8.5,0.6666666666666661,0.34815531191139537,0.9999997482124329,False,No difference
PA-II,CSPA_1-ℓ^I,9.166666666666666,3.6666666666666665,5.5,2.8722813232690143,0.13185801961161203,False,No difference
PA-II,CSPA_1-ℓ^II,9.166666666666666,2.5,6.666666666666666,3.4815531191139564,0.021387766270994257,True,CSPA_1-ℓ^II
PA-II,CSPA_2-ℓ^I,9.166666666666666,2.3333333333333335,6.833333333333332,3.568591947091805,0.015821912893971946,True,CSPA_2-ℓ^I
PA-II,CSPA_2-ℓ^II,9.166666666666666,2.5,6.666666666666666,3.4815531191139564,0.021387766270994257,True,CSPA_2-ℓ^II
CSPA_1,CSPA_2,5.166666666666667,5.333333333333333,0.16666666666666607,0.0870388279778486,0.9999999999997315,False,No difference
CSPA_1,CSPA-ℓ1,5.166666666666667,6.833333333333333,1.666666666666666,0.8703882797784889,0.9986942336025708,False,No difference
CSPA_1,CSPA-ℓ2,5.166666666666667,8.5,3.333333333333333,1.7407765595569782,0.8144120830151983,False,No difference
CSPA_1,CSPA_1-ℓ^I,5.166666666666667,3.6666666666666665,1.5000000000000004,0.7833494518006405,0.9994785952080367,False,No difference
CSPA_1,CSPA_1-ℓ^II,5.166666666666667,2.5,2.666666666666667,1.3926212476455828,0.9505223362892983,False,No difference
CSPA_1,CSPA_2-ℓ^I,5.166666666666667,2.3333333333333335,2.8333333333333335,1.4796600756234317,0.9268005622775461,False,No difference
CSPA_1,CSPA_2-ℓ^II,5.166666666666667,2.5,2.666666666666667,1.3926212476455828,0.9505223362892983,False,No difference
CSPA_2,CSPA-ℓ1,5.333333333333333,6.833333333333333,1.5,0.7833494518006403,0.9994785952080367,False,No difference
CSPA_2,CSPA-ℓ2,5.333333333333333,8.5,3.166666666666667,1.6537377315791297,0.8588184424666615,False,No difference
CSPA_2,CSPA_1-ℓ^I,5.333333333333333,3.6666666666666665,1.6666666666666665,0.8703882797784891,0.9986942336025708,False,No difference
CSPA_2,CSPA_1-ℓ^II,5.333333333333333,2.5,2.833333333333333,1.4796600756234315,0.9268005622775463,False,No difference
CSPA_2,CSPA_2-ℓ^I,5.333333333333333,2.3333333333333335,2.9999999999999996,1.5666989036012804,0.8963289838289203,False,No difference
CSPA_2,CSPA_2-ℓ^II,5.333333333333333,2.5,2.833333333333333,1.4796600756234315,0.9268005622775463,False,No difference
CSPA-ℓ1,CSPA-ℓ2,6.833333333333333,8.5,1.666666666666667,0.8703882797784893,0.9986942336025708,False,No difference
CSPA-ℓ1,CSPA_1-ℓ^I,6.833333333333333,3.6666666666666665,3.1666666666666665,1.6537377315791293,0.8588184424666616,False,No difference
CSPA-ℓ1,CSPA_1-ℓ^II,6.833333333333333,2.5,4.333333333333333,2.263009527424072,0.45967371191180295,False,No difference
CSPA-ℓ1,CSPA_2-ℓ^I,6.833333333333333,2.3333333333333335,4.5,2.350048355401921,0.3994642974017226,False,No difference
CSPA-ℓ1,CSPA_2-ℓ^II,6.833333333333333,2.5,4.333333333333333,2.263009527424072,0.45967371191180295,False,No difference
CSPA-ℓ2,CSPA_1-ℓ^I,8.5,3.6666666666666665,4.833333333333334,2.524126011357619,0.29019767354229276,False,No difference
CSPA-ℓ2,CSPA_1-ℓ^II,8.5,2.5,6.0,3.1333978072025612,0.06451633519188582,False,No difference
CSPA-ℓ2,CSPA_2-ℓ^I,8.5,2.3333333333333335,6.166666666666666,3.22043663518041,0.04972871774644738,True,CSPA_2-ℓ^I
CSPA-ℓ2,CSPA_2-ℓ^II,8.5,2.5,6.0,3.1333978072025612,0.06451633519188582,False,No difference
CSPA_1-ℓ^I,CSPA_1-ℓ^II,3.6666666666666665,2.5,1.1666666666666665,0.6092717958449424,0.9999467686108982,False,No difference
CSPA_1-ℓ^I,CSPA_2-ℓ^I,3.6666666666666665,2.3333333333333335,1.333333333333333,0.6963106238227912,0.9998185281601177,False,No difference
CSPA_1-ℓ^I,CSPA_2-ℓ^II,3.6666666666666665,2.5,1.1666666666666665,0.6092717958449424,0.9999467686108982,False,No difference
CSPA_1-ℓ^II,CSPA_2-ℓ^I,2.5,2.3333333333333335,0.16666666666666652,0.08703882797784884,0.9999999999997315,False,No difference
CSPA_1-ℓ^II,CSPA_2-ℓ^II,2.5,2.5,0.0,0.0,1.0,False,No difference
CSPA_2-ℓ^I,CSPA_2-ℓ^II,2.3333333333333335,2.5,0.16666666666666652,0.08703882797784884,0.9999999999997315,False,No difference
